T03,Population growth and indicators of fertility and mortality,,,,,
480,Mauritius,2015,"Maternal mortality ratio (deaths per 100,000 population)",73,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2017."""
480,Mauritius,2015,Life expectancy at birth for both sexes (years),74.1,"Data refers to a 5-year period preceding the reference year.;Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
480,Mauritius,2015,Life expectancy at birth for males (years),70.7,"Data refers to a 5-year period preceding the reference year.;Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
480,Mauritius,2015,Life expectancy at birth for females (years),77.7,"Data refers to a 5-year period preceding the reference year.;Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
480,Mauritius,2017,"Maternal mortality ratio (deaths per 100,000 population)",61,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2017."""
480,Mauritius,2020,Population annual rate of increase (percent),0.2,"Data refers to a 5-year period preceding the reference year.;Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
480,Mauritius,2020,Total fertility rate (children per women),1.4,"Data refers to a 5-year period preceding the reference year.;Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
480,Mauritius,2020,"Infant mortality for both sexes (per 1,000 live births)",11.2,"Data refers to a 5-year period preceding the reference year.;Including Agalega, Rodrigues and Saint Brandon.","United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
480,Mauritius,2020,Life expectancy at birth for both sexes (years),74.8,"Data refers to a 5-year period preceding the reference year.;Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
480,Mauritius,2020,Life expectancy at birth for males (years),71.4,"Data refers to a 5-year period preceding the reference year.;Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
480,Mauritius,2020,Life expectancy at birth for females (years),78.3,"Data refers to a 5-year period preceding the reference year.;Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
175,Mayotte,2010,Population annual rate of increase (percent),3.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
175,Mayotte,2010,Total fertility rate (children per women),4.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
175,Mayotte,2010,"Infant mortality for both sexes (per 1,000 live births)",5.6,Data refers to a 5-year period preceding the reference year.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
175,Mayotte,2010,Life expectancy at birth for both sexes (years),78.0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
175,Mayotte,2010,Life expectancy at birth for males (years),74.5,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
